name;ru;en
Abc.Model.N_Filter.FilterName;Наименование фильтра;
Abc.Model.N_Filter.FilterValue;Значение;
Abc.Model.N_Filter.IsDefault;Удален;Deleted
Abc.Model.N_Filter.ListName;Наименование;Title
Abc.Model.N_Filter.Subject;Пользователь;
Abc.Model.N_Folder;Папка;Folder
Abc.Model.N_Folder-pl;Папки;Folders
Abc.Model.N_Folder.CreateNew;Создать папку;
Abc.Model.N_Folder.CreateNew-folderlist;Создать папку;New folder
Abc.Model.N_Folder.Delete-confirm;"Вы уверены, что хотите удалить папку \"{0}\" вместе со всеми файлами?";"Are you sure you want to delete the folder \"{0}\" and all its content?"
Abc.Model.N_Folder.FileLibrary;Библиотека;
Abc.Model.N_Folder.Files;Файлы;
Abc.Model.N_Folder.Folders;Папки;
Abc.Model.N_Folder.Guid;Гуид;
Abc.Model.N_Folder.GuidPath;Путь Гуид;
Abc.Model.N_Folder.IsDeleted;Удален;Deleted
Abc.Model.N_Folder.LastModifiedDate;Дата последней модификации;Last modified date
Abc.Model.N_Folder.LastModifiedUser;Последний редактировавший пользователь;Last modified by
Abc.Model.N_Folder.PackAndDownload;Упаковать и скачать;Zip and download
Abc.Model.N_Folder.Parent;Родительская папка;
Abc.Model.N_Folder.Path;Полный путь;Path
Abc.Model.N_Folder.Predicates;Права доступа;
Abc.Model.N_Folder.SPMActionItemGUID;Гуид объекта проверки прав;
Abc.Model.N_Folder.Title;Наименование;Title
Abc.Model.N_Navig;Меню навигации;Navigation
Abc.Model.N_Navig-pl;Меню навигации;Navigation
Abc.Model.N_Navig.CreateNew;Создать меню;Create new menu
Abc.Model.N_Navig.CreateNew-list;Создать меню;New menu
Abc.Model.N_Navig.IsDeleted;Удален;Deleted
Abc.Model.N_Navig.Items;Элементы;
Abc.Model.N_Navig.LastModifiedDate;Дата последней модификации;Last modified date
Abc.Model.N_Navig.LastModifiedUser;Последний редактировавший пользователь;Last modified by
Abc.Model.N_Navig.MaxLevels;Максимальное количество уровней;Nesting depth limit
Abc.Model.N_Navig.SysName;Системное имя;System name
Abc.Model.N_Navig.Title;Наименование;Title
Abc.Model.N_NavigItem;Элемент меню;Menu item
Abc.Model.N_NavigItem.Child;Дочерние элементы;
Abc.Model.N_NavigItem.CreateNew;Добавить пункт меню;Create new item
Abc.Model.N_NavigItem.CreateNew-list;Создать пункт меню;New menu item
Abc.Model.N_NavigItem.EditRights;Редактировать права;Edit access rights
Abc.Model.N_NavigItem.Expression;Вычисляемая часть наименования;Expression
Abc.Model.N_NavigItem.FURL;Friendly URL;
Abc.Model.N_NavigItem.ImageURL;URL картинки;Image
Abc.Model.N_NavigItem.IsDeleted;Удален;Disabled
Abc.Model.N_NavigItem.LastModifiedDate;Дата последней модификации;Last modified date
Abc.Model.N_NavigItem.LastModifiedUser;Последний редактировавший пользователь;Last modified by
Abc.Model.N_NavigItem.MoveDown;Переместить вниз;Move down
Abc.Model.N_NavigItem.MoveUp;Переместить вверх;Move up
